CO,X1,Y,H,M,PO,CE,D,PE,A,B,R|NEW_REACTION,R|Reaction1,R|Reaction10,R|Reaction11,R|Reaction2,R|Reaction3,R|Reaction4,R|Reaction5,R|Reaction6,R|Reaction7,R|Reaction8,R|Reaction9,Times,Reaction
0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512
0,35,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00400131117479317,Reaction1
0,34,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0133760370850794,Reaction1
0,33,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0450103765676939,Reaction1
0,32,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0612235409150047,Reaction1
0,31,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.087196420679758,Reaction1
0,30,0,6,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.091947424632532,Reaction1
0,29,0,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.122709443029189,Reaction1
0,29,0,7,7,5,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0.152691028052287,Reaction2
0,29,0,7,6,5,0,0,1,6,3,0,7,0,0,1,0,0,0,1,0,0,0,0.161524654623817,Reaction6
0,29,0,7,6,5,0,0,1,4,1,0,7,0,0,1,0,0,0,1,1,0,0,0.163502793304727,Reaction7
1,29,1,7,6,5,0,0,1,3,1,0,7,0,0,1,0,0,0,1,1,0,1,0.166460076854658,Reaction9
1,29,1,7,6,3,0,0,2,3,1,0,7,0,0,2,0,0,0,1,1,0,1,0.182877716300019,Reaction2
0,28,2,7,6,3,0,0,2,3,1,1,7,0,0,2,0,0,0,1,1,0,1,0.183027421889521,NEW_REACTION
1,28,3,7,6,3,0,0,2,2,1,1,7,0,0,2,0,0,0,1,1,0,2,0.183634248464759,Reaction9
1,27,3,8,7,4,0,0,2,2,1,1,8,0,0,2,0,0,0,1,1,0,2,0.201985614008986,Reaction1
1,27,3,6,7,4,0,1,2,2,1,1,8,0,0,2,0,0,1,1,1,0,2,0.207838991259767,Reaction5
1,27,3,6,7,2,0,1,3,2,1,1,8,0,0,3,0,0,1,1,1,0,2,0.207999018145051,Reaction2
1,27,4,6,7,2,1,0,3,2,1,1,8,0,0,3,0,0,1,1,1,1,2,0.226364373142979,Reaction8
1,27,4,6,7,0,1,0,4,2,1,1,8,0,0,4,0,0,1,1,1,1,2,0.227458043297401,Reaction2
0,26,5,6,7,0,1,0,4,2,1,2,8,0,0,4,0,0,1,1,1,1,2,0.260837451420443,NEW_REACTION
0,25,5,7,8,1,1,0,4,2,1,2,9,0,0,4,0,0,1,1,1,1,2,0.301670935101214,Reaction1
0,25,5,7,8,1,1,0,3,2,1,2,9,0,0,4,0,1,1,1,1,1,2,0.31174749736163,Reaction4
0,25,5,5,8,1,1,1,3,2,1,2,9,0,0,4,0,1,2,1,1,1,2,0.312080186082401,Reaction5
0,25,5,5,7,1,1,1,3,8,4,2,9,0,0,4,0,1,2,2,1,1,2,0.315823517183993,Reaction6
0,25,5,5,7,1,1,1,3,6,2,2,9,0,0,4,0,1,2,2,2,1,2,0.316349284660868,Reaction7
0,25,6,5,7,1,2,0,3,6,2,2,9,0,0,4,0,1,2,2,2,2,2,0.33854804903795,Reaction8
0,25,6,5,7,1,2,0,2,6,2,2,9,0,0,4,1,1,2,2,2,2,2,0.34396559371658,Reaction3
0,25,6,5,6,1,2,0,2,12,5,2,9,0,0,4,1,1,2,3,2,2,2,0.364741712090078,Reaction6
0,25,6,5,6,1,2,0,2,10,3,2,9,0,0,4,1,1,2,3,3,2,2,0.367205039374765,Reaction7
0,25,6,5,6,1,2,0,2,8,1,2,9,0,0,4,1,1,2,3,4,2,2,0.369237522435437,Reaction7
0,24,6,6,7,2,2,0,2,8,1,2,10,0,0,4,1,1,2,3,4,2,2,0.370437743429328,Reaction1
0,24,6,6,6,2,2,0,2,14,4,2,10,0,0,4,1,1,2,4,4,2,2,0.396922907245281,Reaction6
0,24,6,6,6,2,2,0,2,12,2,2,10,0,0,4,1,1,2,4,5,2,2,0.397237388822958,Reaction7
0,24,6,6,6,2,2,0,2,10,0,2,10,0,0,4,1,1,2,4,6,2,2,0.401683396438266,Reaction7
0,24,6,4,6,2,2,1,2,10,0,2,10,0,0,4,1,1,3,4,6,2,2,0.403053513525131,Reaction5
0,24,5,4,6,2,1,2,2,10,0,2,10,1,0,4,1,1,3,4,6,2,2,0.406016283794332,Reaction10
0,24,5,4,6,2,1,2,1,10,0,2,10,1,0,4,2,1,3,4,6,2,2,0.410715299199287,Reaction3
1,24,6,4,6,2,1,2,1,9,0,2,10,1,0,4,2,1,3,4,6,2,3,0.414420082791005,Reaction9
1,24,5,4,6,2,0,3,1,9,0,2,10,2,0,4,2,1,3,4,6,2,3,0.418250413195699,Reaction10
0,24,4,4,6,2,0,3,1,10,0,2,10,2,1,4,2,1,3,4,6,2,3,0.428207585779376,Reaction11
0,23,4,5,7,3,0,3,1,10,0,2,11,2,1,4,2,1,3,4,6,2,3,0.535561594470727,Reaction1
1,23,5,5,7,3,0,3,1,9,0,2,11,2,1,4,2,1,3,4,6,2,4,0.54577794872064,Reaction9
1,22,5,6,8,4,0,3,1,9,0,2,12,2,1,4,2,1,3,4,6,2,4,0.563312073974159,Reaction1
1,21,5,7,9,5,0,3,1,9,0,2,13,2,1,4,2,1,3,4,6,2,4,0.581695434528928,Reaction1
0,21,4,7,9,5,0,3,1,10,0,2,13,2,2,4,2,1,3,4,6,2,4,0.582944655909734,Reaction11
1,21,5,7,9,5,0,3,1,9,0,2,13,2,2,4,2,1,3,4,6,2,5,0.583015505650083,Reaction9
1,21,6,7,9,5,1,2,1,9,0,2,13,2,2,4,2,1,3,4,6,3,5,0.584286590484026,Reaction8
2,21,7,7,9,5,1,2,1,8,0,2,13,2,2,4,2,1,3,4,6,3,6,0.591619105698848,Reaction9
3,21,8,7,9,5,1,2,1,7,0,2,13,2,2,4,2,1,3,4,6,3,7,0.592218664666358,Reaction9
2,20,9,7,9,5,1,2,1,7,0,3,13,2,2,4,2,1,3,4,6,3,7,0.592285066758319,NEW_REACTION
2,20,9,5,9,5,1,3,1,7,0,3,13,2,2,4,2,1,4,4,6,3,7,0.595742453975815,Reaction5
1,19,10,5,9,5,1,3,1,7,0,4,13,2,2,4,2,1,4,4,6,3,7,0.595935497856011,NEW_REACTION
1,19,10,3,9,5,1,4,1,7,0,4,13,2,2,4,2,1,5,4,6,3,7,0.597891889720355,Reaction5
1,18,10,4,10,6,1,4,1,7,0,4,14,2,2,4,2,1,5,4,6,3,7,0.602537460254352,Reaction1
1,18,9,4,10,6,0,5,1,7,0,4,14,3,2,4,2,1,5,4,6,3,7,0.611539713869618,Reaction10
1,18,9,4,9,6,0,5,1,13,3,4,14,3,2,4,2,1,5,5,6,3,7,0.612626987523852,Reaction6
2,18,10,4,9,6,0,5,1,12,3,4,14,3,2,4,2,1,5,5,6,3,8,0.614652838869982,Reaction9
2,18,10,4,9,6,0,5,1,10,1,4,14,3,2,4,2,1,5,5,7,3,8,0.615104809036916,Reaction7
2,18,10,2,9,6,0,6,1,10,1,4,14,3,2,4,2,1,6,5,7,3,8,0.627223541519438,Reaction5
1,18,9,2,9,6,0,6,1,11,1,4,14,3,3,4,2,1,6,5,7,3,8,0.634760938164159,Reaction11
1,18,9,2,9,4,0,6,2,11,1,4,14,3,3,5,2,1,6,5,7,3,8,0.640074895733573,Reaction2
0,18,8,2,9,4,0,6,2,12,1,4,14,3,4,5,2,1,6,5,7,3,8,0.653371091729833,Reaction11
0,18,8,2,9,4,0,6,1,12,1,4,14,3,4,5,3,1,6,5,7,3,8,0.662970092168226,Reaction3
1,18,9,2,9,4,0,6,1,11,1,4,14,3,4,5,3,1,6,5,7,3,9,0.664604264478696,Reaction9
1,18,9,2,8,4,0,6,1,17,4,4,14,3,4,5,3,1,6,6,7,3,9,0.674779318874429,Reaction6
1,18,9,2,8,4,0,6,1,15,2,4,14,3,4,5,3,1,6,6,8,3,9,0.675244975986814,Reaction7
1,18,9,2,7,4,0,6,1,21,5,4,14,3,4,5,3,1,6,7,8,3,9,0.67560166376904,Reaction6
1,18,9,2,7,4,0,6,1,19,3,4,14,3,4,5,3,1,6,7,9,3,9,0.675662050257744,Reaction7
1,18,9,2,7,4,0,6,1,17,1,4,14,3,4,5,3,1,6,7,10,3,9,0.675980198930913,Reaction7
2,18,10,2,7,4,0,6,1,16,1,4,14,3,4,5,3,1,6,7,10,3,10,0.682746193765391,Reaction9
2,18,10,2,6,4,0,6,1,22,4,4,14,3,4,5,3,1,6,8,10,3,10,0.69109904987954,Reaction6
2,18,10,2,6,4,0,6,1,20,2,4,14,3,4,5,3,1,6,8,11,3,10,0.691196166389468,Reaction7
2,18,10,2,6,4,0,6,1,18,0,4,14,3,4,5,3,1,6,8,12,3,10,0.692010773357537,Reaction7
