Name,TraceName,AbstractTestName,EvaluationTime,TimeIndex,VectorFlag,Pass,Fail,Error,SpeciesInvolved,SpeciesCountAtEvaluation,ReactionsInvolved,ReactionCountAtEvaluation,TimesFail,TimesReaction
M5|217|Evaluation|001,217|Evaluation|001,M5,MaxTime,106,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->21.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->27.00}{R|Reaction2->21.00}{R|Reaction3->2.00}{R|Reaction4->25.00}{R|Reaction5->29.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{106}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction4}{Reaction1}{Reaction1}{Reaction1}{Reaction5}{Reaction5}{Reaction4}{Reaction2}{Reaction2}{Reaction4}{Reaction4}{Reaction5}{Reaction2}{Reaction1}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction3}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction3}{217|Evaluation|001}
M5|217|Evaluation|002,217|Evaluation|002,M5,MaxTime,82,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->35.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->27.00}{R|Reaction2->21.00}{R|Reaction3->2.00}{R|Reaction4->15.00}{R|Reaction5->15.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{82}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction5}{Reaction4}{Reaction4}{Reaction2}{Reaction4}{Reaction3}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction1}{Reaction2}{Reaction5}{Reaction1}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction1}{Reaction5}{Reaction5}{Reaction5}{Reaction2}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction3}{217|Evaluation|002}
M5|217|Evaluation|003,217|Evaluation|003,M5,MaxTime,158,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->5.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->27.00}{R|Reaction2->21.00}{R|Reaction3->2.00}{R|Reaction4->61.00}{R|Reaction5->45.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{158}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction5}{Reaction1}{Reaction4}{Reaction2}{Reaction1}{Reaction4}{Reaction2}{Reaction4}{Reaction5}{Reaction4}{Reaction1}{Reaction3}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction3}{217|Evaluation|003}
M5|217|Evaluation|004,217|Evaluation|004,M5,MaxTime,129,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->8.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->27.00}{R|Reaction2->21.00}{R|Reaction3->2.00}{R|Reaction4->35.00}{R|Reaction5->42.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{129}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction4}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction5}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction2}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction1}{Reaction5}{Reaction4}{Reaction5}{Reaction2}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction3}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction3}{217|Evaluation|004}
M5|217|Evaluation|005,217|Evaluation|005,M5,MaxTime,91,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->28.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->27.00}{R|Reaction2->21.00}{R|Reaction3->2.00}{R|Reaction4->17.00}{R|Reaction5->22.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{91}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction5}{Reaction5}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction4}{Reaction1}{Reaction4}{Reaction5}{Reaction1}{Reaction2}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction1}{Reaction5}{Reaction5}{Reaction5}{Reaction2}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction3}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction3}{217|Evaluation|005}
M5|217|Evaluation|006,217|Evaluation|006,M5,MaxTime,143,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->2.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->27.00}{R|Reaction2->21.00}{R|Reaction3->2.00}{R|Reaction4->43.00}{R|Reaction5->48.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{143}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction4}{Reaction2}{Reaction1}{Reaction5}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction5}{Reaction5}{Reaction4}{Reaction2}{Reaction4}{Reaction5}{Reaction5}{Reaction1}{Reaction2}{Reaction4}{Reaction1}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction3}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction3}{217|Evaluation|006}
M5|217|Evaluation|007,217|Evaluation|007,M5,MaxTime,119,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->28.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->27.00}{R|Reaction2->21.00}{R|Reaction3->2.00}{R|Reaction4->45.00}{R|Reaction5->22.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{119}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction4}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction5}{Reaction1}{Reaction1}{Reaction1}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction2}{Reaction1}{Reaction4}{Reaction5}{Reaction1}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction3}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction3}{217|Evaluation|007}
M5|217|Evaluation|008,217|Evaluation|008,M5,MaxTime,115,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->23.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->27.00}{R|Reaction2->21.00}{R|Reaction3->2.00}{R|Reaction4->36.00}{R|Reaction5->27.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{115}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction5}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction4}{Reaction2}{Reaction4}{Reaction1}{Reaction4}{Reaction2}{Reaction4}{Reaction4}{Reaction4}{Reaction1}{Reaction4}{Reaction1}{Reaction5}{Reaction4}{Reaction2}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction3}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction3}{217|Evaluation|008}
M5|217|Evaluation|009,217|Evaluation|009,M5,MaxTime,134,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->13.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->26.00}{R|Reaction2->20.00}{R|Reaction3->5.00}{R|Reaction4->43.00}{R|Reaction5->38.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{134}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction4}{Reaction1}{Reaction2}{Reaction2}{Reaction3}{Reaction2}{Reaction2}{Reaction2}{Reaction5}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction4}{Reaction2}{Reaction1}{Reaction5}{Reaction4}{Reaction2}{Reaction2}{Reaction4}{Reaction1}{Reaction4}{Reaction2}{Reaction4}{Reaction4}{Reaction1}{Reaction5}{Reaction4}{Reaction4}{Reaction3}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction3}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction3}{Reaction5}{Reaction5}{Reaction4}{Reaction3}{217|Evaluation|009}
M5|217|Evaluation|010,217|Evaluation|010,M5,MaxTime,85,1,1,0,0,{X->true}{V->true}{Y->true},{X->0.00}{V->33.00}{Y->0.00},{R|Reaction1->true}{R|Reaction2->true}{R|Reaction3->true}{R|Reaction4->true}{R|Reaction5->true},{R|Reaction1->27.00}{R|Reaction2->21.00}{R|Reaction3->2.00}{R|Reaction4->16.00}{R|Reaction5->17.00},{true}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false}{false},{85}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction2}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction4}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction1}{Reaction1}{Reaction2}{Reaction2}{Reaction4}{Reaction2}{Reaction1}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction1}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction3}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction5}{Reaction2}{Reaction4}{Reaction5}{Reaction5}{Reaction4}{Reaction5}{Reaction4}{Reaction5}{Reaction5}{Reaction5}{Reaction4}{Reaction4}{Reaction5}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction4}{Reaction5}{Reaction3}{217|Evaluation|010}
