Run: 001
 Times,Y   ,X1   ,X2   ,RC_ReactionN   ,RC_Reaction1   ,RC_Reaction2   ,ReactionFired
0.0000000000    ,0    ,38    ,24    ,0    ,0    ,0    ,TimeZero
 0.0126832946    ,1    ,37    ,24    ,0    ,1    ,0    ,Reaction1
 0.0225869492    ,2    ,36    ,24    ,0    ,2    ,0    ,Reaction1
 0.0614938062    ,1    ,36    ,23    ,0    ,2    ,1    ,Reaction2
 0.0666729161    ,2    ,35    ,23    ,0    ,3    ,1    ,Reaction1
 0.0713684008    ,3    ,34    ,23    ,0    ,4    ,1    ,Reaction1
 0.0726667400    ,2    ,34    ,22    ,0    ,4    ,2    ,Reaction2
 0.0831703288    ,1    ,34    ,21    ,0    ,4    ,3    ,Reaction2
 0.1394788512    ,2    ,33    ,21    ,0    ,5    ,3    ,Reaction1
 0.1560050191    ,3    ,32    ,21    ,0    ,6    ,3    ,Reaction1
 0.1843703909    ,4    ,31    ,21    ,0    ,7    ,3    ,Reaction1
 0.2016363660    ,3    ,31    ,20    ,0    ,7    ,4    ,Reaction2
 0.2102854277    ,2    ,31    ,19    ,0    ,7    ,5    ,Reaction2
 0.2301001810    ,1    ,31    ,18    ,0    ,7    ,6    ,Reaction2
 0.2433168124    ,2    ,30    ,18    ,0    ,8    ,6    ,Reaction1
 0.2670922467    ,3    ,29    ,18    ,0    ,9    ,6    ,Reaction1
 0.2844804222    ,2    ,29    ,17    ,0    ,9    ,7    ,Reaction2
 0.2893215973    ,3    ,28    ,17    ,0    ,10    ,7    ,Reaction1
 0.2898941686    ,2    ,28    ,16    ,0    ,10    ,8    ,Reaction2
 0.2912447008    ,1    ,28    ,15    ,0    ,10    ,9    ,Reaction2
 0.3349735342    ,0    ,28    ,14    ,0    ,10    ,10    ,Reaction2
 0.3545648417    ,1    ,27    ,14    ,0    ,11    ,10    ,Reaction1
 0.3702178024    ,0    ,27    ,13    ,0    ,11    ,11    ,Reaction2
 0.3718123335    ,1    ,26    ,13    ,0    ,12    ,11    ,Reaction1
 0.3777373957    ,0    ,26    ,12    ,0    ,12    ,12    ,Reaction2
 0.4065607679    ,1    ,25    ,12    ,0    ,13    ,12    ,Reaction1
 0.4529128530    ,2    ,24    ,12    ,0    ,14    ,12    ,Reaction1
