Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
A5|1|LE,1,A5,MaxTime,{A5|1|Evaluation|001}{A5|1|Evaluation|002}{A5|1|Evaluation|003}{A5|1|Evaluation|004}{A5|1|Evaluation|005}{A5|1|Evaluation|006}{A5|1|Evaluation|007}{A5|1|Evaluation|008}{A5|1|Evaluation|009}{A5|1|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A5|2|LE,2,A5,MaxTime,{A5|2|Evaluation|001}{A5|2|Evaluation|002}{A5|2|Evaluation|003}{A5|2|Evaluation|004}{A5|2|Evaluation|005}{A5|2|Evaluation|006}{A5|2|Evaluation|007}{A5|2|Evaluation|008}{A5|2|Evaluation|009}{A5|2|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A5|3|LE,3,A5,MaxTime,{A5|3|Evaluation|001}{A5|3|Evaluation|002}{A5|3|Evaluation|003}{A5|3|Evaluation|004}{A5|3|Evaluation|005}{A5|3|Evaluation|006}{A5|3|Evaluation|007}{A5|3|Evaluation|008}{A5|3|Evaluation|009}{A5|3|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A5|4|LE,4,A5,MaxTime,{A5|4|Evaluation|001}{A5|4|Evaluation|002}{A5|4|Evaluation|003}{A5|4|Evaluation|004}{A5|4|Evaluation|005}{A5|4|Evaluation|006}{A5|4|Evaluation|007}{A5|4|Evaluation|008}{A5|4|Evaluation|009}{A5|4|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A5|5|LE,5,A5,MaxTime,{A5|5|Evaluation|001}{A5|5|Evaluation|002}{A5|5|Evaluation|003}{A5|5|Evaluation|004}{A5|5|Evaluation|005}{A5|5|Evaluation|006}{A5|5|Evaluation|007}{A5|5|Evaluation|008}{A5|5|Evaluation|009}{A5|5|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A5|6|LE,6,A5,MaxTime,{A5|6|Evaluation|001}{A5|6|Evaluation|002}{A5|6|Evaluation|003}{A5|6|Evaluation|004}{A5|6|Evaluation|005}{A5|6|Evaluation|006}{A5|6|Evaluation|007}{A5|6|Evaluation|008}{A5|6|Evaluation|009}{A5|6|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A5|7|LE,7,A5,MaxTime,{A5|7|Evaluation|001}{A5|7|Evaluation|002}{A5|7|Evaluation|003}{A5|7|Evaluation|004}{A5|7|Evaluation|005}{A5|7|Evaluation|006}{A5|7|Evaluation|007}{A5|7|Evaluation|008}{A5|7|Evaluation|009}{A5|7|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
A5|8|LE,8,A5,MaxTime,{A5|8|Evaluation|001}{A5|8|Evaluation|002}{A5|8|Evaluation|003}{A5|8|Evaluation|004}{A5|8|Evaluation|005}{A5|8|Evaluation|006}{A5|8|Evaluation|007}{A5|8|Evaluation|008}{A5|8|Evaluation|009}{A5|8|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A5|9|LE,9,A5,MaxTime,{A5|9|Evaluation|001}{A5|9|Evaluation|002}{A5|9|Evaluation|003}{A5|9|Evaluation|004}{A5|9|Evaluation|005}{A5|9|Evaluation|006}{A5|9|Evaluation|007}{A5|9|Evaluation|008}{A5|9|Evaluation|009}{A5|9|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A5|10|LE,10,A5,MaxTime,{A5|10|Evaluation|001}{A5|10|Evaluation|002}{A5|10|Evaluation|003}{A5|10|Evaluation|004}{A5|10|Evaluation|005}{A5|10|Evaluation|006}{A5|10|Evaluation|007}{A5|10|Evaluation|008}{A5|10|Evaluation|009}{A5|10|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
