Name,ConcreteInputNames,ConcreteTestNames,SpeciesNames,PropertySpeciesNames,ConstraintSpeciesNames,Constraint,Property,EvaluationTime,UniqueID,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,ConcreteTest_Number,ConcreteTest_NumberPass,ConcreteTest_NumberFail,ConcreteTest_NumberError,ConcreteTest_NumberFailFlakey,ConcreteTest_NumberPassDeterministic,ConcreteTest_NumberFailDeterministic,ConcreteTest_NumberErrorDeterministic,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
ASE7,{4|304}{5|305}{6|306},{ASE7|4|304}{ASE7|5|305}{ASE7|6|306},{M|Y}{Y},{M|Y}{Y},{},null,"{Y}[T]  < {M|Y}[T]",100,28727,1,1,0,1,0,0,0,3,3,3,0,3,0,0,0,30,25,5,0
ASE8,{4|404}{5|405}{6|406},{ASE8|4|404}{ASE8|5|405}{ASE8|6|406},{M|Y}{Y},{M|Y}{Y},{},null,"{Y}[T]  > {M|Y}[T]",100,28727,1,1,0,1,0,0,0,3,3,3,0,3,0,0,0,30,9,21,0
M15,{1|101}{2|102}{3|103}{8|108}{9|109}{10|110},{M15|1|101}{M15|2|102}{M15|3|103}{M15|8|108}{M15|9|109}{M15|10|110},{M|Y}{Y},{M|Y}{Y},{},null,"{Y}[T]  < {M|Y}[T]",100,28727,1,1,0,1,0,0,0,6,6,6,0,6,0,0,0,60,44,16,0
M16,{4|504}{5|505}{6|506},{M16|4|504}{M16|5|505}{M16|6|506},{M|Y}{Y},{M|Y}{Y},{},null,"{Y}[T]  > {M|Y}[T]",100,28727,1,1,0,1,0,0,0,3,3,3,0,3,0,0,0,30,23,7,0
A0,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A0|1}{A0|2}{A0|3}{A0|4}{A0|5}{A0|6}{A0|7}{A0|8}{A0|9}{A0|10},{A}{B}{CO}{M}{X1},{A}{B}{CO}{M}{X1},{},null,"(1)*{A}[T] + (-1)*{B}[T] + (1)*{CO}[T] + (3)*{M}[T] + (3)*{X1}[T] == (1)*{A}[Z] + (-1)*{B}[Z] + (1)*{CO}[Z] + (3)*{M}[Z] + (3)*{X1}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A1,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A1|1}{A1|2}{A1|3}{A1|4}{A1|5}{A1|6}{A1|7}{A1|8}{A1|9}{A1|10},{A}{B}{CO}{D}{H}{M}{Y},{A}{B}{CO}{D}{H}{M}{Y},{},null,"(-1)*{A}[T] + (1)*{B}[T] + (-7)*{CO}[T] + (6)*{D}[T] + (3)*{H}[T] + (-3)*{M}[T] + (6)*{Y}[T] == (-1)*{A}[Z] + (1)*{B}[Z] + (-7)*{CO}[Z] + (6)*{D}[Z] + (3)*{H}[Z] + (-3)*{M}[Z] + (6)*{Y}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A2,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A2|1}{A2|2}{A2|3}{A2|4}{A2|5}{A2|6}{A2|7}{A2|8}{A2|9}{A2|10},{CE}{CO}{Y},{CE}{CO}{Y},{},null,"(1)*{CE}[T] + (1)*{CO}[T] + (-1)*{Y}[T] == (1)*{CE}[Z] + (1)*{CO}[Z] + (-1)*{Y}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A3,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A3|1}{A3|2}{A3|3}{A3|4}{A3|5}{A3|6}{A3|7}{A3|8}{A3|9}{A3|10},{A}{B}{CO}{M}{R|Reaction1},{A}{B}{CO}{M}{R|Reaction1},{},null,"(-1)*{A}[T] + (1)*{B}[T] + (-1)*{CO}[T] + (-3)*{M}[T] + (3)*{R|Reaction1}[T] == (-1)*{A}[Z] + (1)*{B}[Z] + (-1)*{CO}[Z] + (-3)*{M}[Z] + (3)*{R|Reaction1}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A4,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A4|1}{A4|2}{A4|3}{A4|4}{A4|5}{A4|6}{A4|7}{A4|8}{A4|9}{A4|10},{A}{B}{CO}{M}{PO}{R|Reaction2},{A}{B}{CO}{M}{PO}{R|Reaction2},{},null,"(-1)*{A}[T] + (1)*{B}[T] + (-1)*{CO}[T] + (-3)*{M}[T] + (3)*{PO}[T] + (6)*{R|Reaction2}[T] == (-1)*{A}[Z] + (1)*{B}[Z] + (-1)*{CO}[Z] + (-3)*{M}[Z] + (3)*{PO}[Z] + (6)*{R|Reaction2}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A5,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A5|1}{A5|2}{A5|3}{A5|4}{A5|5}{A5|6}{A5|7}{A5|8}{A5|9}{A5|10},{A}{B}{CO}{M}{PE}{PO}{R|Reaction3}{R|Reaction4},{A}{B}{CO}{M}{PE}{PO}{R|Reaction3}{R|Reaction4},{},null,"(-1)*{A}[T] + (1)*{B}[T] + (-1)*{CO}[T] + (-3)*{M}[T] + (6)*{PE}[T] + (3)*{PO}[T] + (6)*{R|Reaction3}[T] + (6)*{R|Reaction4}[T] == (-1)*{A}[Z] + (1)*{B}[Z] + (-1)*{CO}[Z] + (-3)*{M}[Z] + (6)*{PE}[Z] + (3)*{PO}[Z] + (6)*{R|Reaction3}[Z] + (6)*{R|Reaction4}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A6,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A6|1}{A6|2}{A6|3}{A6|4}{A6|5}{A6|6}{A6|7}{A6|8}{A6|9}{A6|10},{CO}{D}{R|Reaction5}{Y},{CO}{D}{R|Reaction5}{Y},{},null,"(1)*{CO}[T] + (-1)*{D}[T] + (1)*{R|Reaction5}[T] + (-1)*{Y}[T] == (1)*{CO}[Z] + (-1)*{D}[Z] + (1)*{R|Reaction5}[Z] + (-1)*{Y}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A7,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A7|1}{A7|2}{A7|3}{A7|4}{A7|5}{A7|6}{A7|7}{A7|8}{A7|9}{A7|10},{A}{B}{CO}{R|Reaction6},{A}{B}{CO}{R|Reaction6},{},null,"(-1)*{A}[T] + (1)*{B}[T] + (-1)*{CO}[T] + (3)*{R|Reaction6}[T] == (-1)*{A}[Z] + (1)*{B}[Z] + (-1)*{CO}[Z] + (3)*{R|Reaction6}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A8,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A8|1}{A8|2}{A8|3}{A8|4}{A8|5}{A8|6}{A8|7}{A8|8}{A8|9}{A8|10},{A}{B}{CO}{R|Reaction7},{A}{B}{CO}{R|Reaction7},{},null,"(-1)*{A}[T] + (2)*{B}[T] + (-1)*{CO}[T] + (2)*{R|Reaction7}[T] == (-1)*{A}[Z] + (2)*{B}[Z] + (-1)*{CO}[Z] + (2)*{R|Reaction7}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A9,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A9|1}{A9|2}{A9|3}{A9|4}{A9|5}{A9|6}{A9|7}{A9|8}{A9|9}{A9|10},{CO}{R|Reaction10}{R|Reaction8}{Y},{CO}{R|Reaction10}{R|Reaction8}{Y},{},null,"(-1)*{CO}[T] + (1)*{R|Reaction10}[T] + (-1)*{R|Reaction8}[T] + (1)*{Y}[T] == (-1)*{CO}[Z] + (1)*{R|Reaction10}[Z] + (-1)*{R|Reaction8}[Z] + (1)*{Y}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
A10,{1}{2}{3}{4}{5}{6}{7}{8}{9}{10},{A10|1}{A10|2}{A10|3}{A10|4}{A10|5}{A10|6}{A10|7}{A10|8}{A10|9}{A10|10},{CO}{R|Reaction11}{R|Reaction9},{CO}{R|Reaction11}{R|Reaction9},{},null,"(1)*{CO}[T] + (1)*{R|Reaction11}[T] + (-1)*{R|Reaction9}[T] == (1)*{CO}[Z] + (1)*{R|Reaction11}[Z] + (-1)*{R|Reaction9}[Z]",100,28727,1,1,0,1,0,0,0,10,1,9,0,0,1,9,0,100,10,90,0
ASE1,{1}{2}{3}{8}{9}{10},{ASE1|1}{ASE1|2}{ASE1|3}{ASE1|8}{ASE1|9}{ASE1|10},{X1}{Y},{X1}{Y},{},null,"{Y}[T] == {X1}[Z] / 2",100,28727,0,1,0,0,0,1,0,6,0,6,0,0,0,6,0,60,0,60,0
ASE2,{4}{5}{6},{ASE2|4}{ASE2|5}{ASE2|6},{X1}{Y},{X1}{Y},{},null,"{Y}[T] == 3 * {X1}[Z] + 1",100,28727,0,1,0,0,0,1,0,3,0,3,0,0,0,3,0,30,0,30,0
ASE3,{7},{ASE3|7},{Y},{Y},{},null,"{Y}[T] == 0",100,28727,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,10,10,0,0
ASE4,{1}{2}{3}{4}{5}{6}{8}{9}{10},{ASE4|1}{ASE4|2}{ASE4|3}{ASE4|4}{ASE4|5}{ASE4|6}{ASE4|8}{ASE4|9}{ASE4|10},{PE}{PO},{PE}{PO},{},null,"{PO}[T] + {PE}[T] == 1",100,28727,1,0,0,0,1,0,0,9,9,0,0,0,9,0,0,90,90,0,0
M9,{1}{2}{3}{4}{5}{6}{8}{9}{10},{M9|1}{M9|2}{M9|3}{M9|4}{M9|5}{M9|6}{M9|8}{M9|9}{M9|10},{H},{H},{},null,"any([{H}[T] == 0, {H}[T] == 1],2)",100,28727,1,0,0,0,1,0,0,9,9,0,0,0,9,0,0,90,90,0,0
M10,{1}{2}{3}{4}{5}{6}{8}{9}{10},{M10|1}{M10|2}{M10|3}{M10|4}{M10|5}{M10|6}{M10|8}{M10|9}{M10|10},{M},{M},{},null,"{M}[T] == 0",100,28727,1,0,0,0,1,0,0,9,9,0,0,0,9,0,0,90,90,0,0
M11,{1}{2}{3}{4}{5}{6}{8}{9}{10},{M11|1}{M11|2}{M11|3}{M11|4}{M11|5}{M11|6}{M11|8}{M11|9}{M11|10},{B},{B},{},null,"{B}[T] < 3",100,28727,1,0,0,0,1,0,0,9,9,0,0,0,9,0,0,90,90,0,0
M12,{1}{2}{3}{8}{9}{10},{M12|1}{M12|2}{M12|3}{M12|8}{M12|9}{M12|10},{A}{B},{A}{B},{},null,"{A}[T] > {B}[T]",100,28727,1,1,0,1,0,0,0,6,6,6,0,6,0,0,0,60,24,36,0
M14,{4}{5}{6},{M14|4}{M14|5}{M14|6},{A}{X1},{A}{X1},{},null,"any([{A}[T] == 0 , {A}[T] == 3 * {X1}[T] + 1],2)",100,28727,1,1,0,1,0,0,0,3,3,3,0,3,0,0,0,30,18,12,0
