CO,X1,Y,H,M,PO,CE,D,PE,A,B,R|NEW_REACTION,R|Reaction1,R|Reaction10,R|Reaction11,R|Reaction2,R|Reaction3,R|Reaction4,R|Reaction5,R|Reaction6,R|Reaction7,R|Reaction8,R|Reaction9,Times,Reaction
0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597
0,32,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0162357143923024,Reaction1
0,31,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0304073981528746,Reaction1
0,30,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0462296572549573,Reaction1
0,29,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.062367766837051,Reaction1
0,28,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0656898618335722,Reaction1
0,28,0,3,5,5,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0.0772923161103892,Reaction5
0,28,0,3,5,3,0,1,1,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0.0796256032928864,Reaction2
0,28,1,3,5,3,1,0,1,0,0,0,5,0,0,1,0,0,1,0,0,1,0,0.0854865288054781,Reaction8
0,27,1,4,6,4,1,0,1,0,0,0,6,0,0,1,0,0,1,0,0,1,0,0.101468121489744,Reaction1
0,27,1,4,6,2,1,0,2,0,0,0,6,0,0,2,0,0,1,0,0,1,0,0.122701368492033,Reaction2
0,27,1,2,6,2,1,1,2,0,0,0,6,0,0,2,0,0,2,0,0,1,0,0.134804332553818,Reaction5
0,27,1,2,6,2,1,1,1,0,0,0,6,0,0,2,1,0,2,0,0,1,0,0.1416224961253,Reaction3
0,26,1,3,7,3,1,1,1,0,0,0,7,0,0,2,1,0,2,0,0,1,0,0.143108612233663,Reaction1
0,25,1,4,8,4,1,1,1,0,0,0,8,0,0,2,1,0,2,0,0,1,0,0.172805511117173,Reaction1
0,25,1,4,8,2,1,1,2,0,0,0,8,0,0,3,1,0,2,0,0,1,0,0.183885455219161,Reaction2
0,24,1,5,9,3,1,1,2,0,0,0,9,0,0,3,1,0,2,0,0,1,0,0.192467049039475,Reaction1
0,24,1,5,9,1,1,1,3,0,0,0,9,0,0,4,1,0,2,0,0,1,0,0.20585257244188,Reaction2
0,24,1,5,9,1,1,1,2,0,0,0,9,0,0,4,2,0,2,0,0,1,0,0.220139859359352,Reaction3
0,24,1,5,8,1,1,1,2,6,3,0,9,0,0,4,2,0,2,1,0,1,0,0.254160197447867,Reaction6
0,24,1,5,8,1,1,1,2,4,1,0,9,0,0,4,2,0,2,1,1,1,0,0.258529914114425,Reaction7
0,24,1,5,8,1,1,1,1,4,1,0,9,0,0,4,3,0,2,1,1,1,0,0.260086112038993,Reaction3
1,24,2,5,8,1,1,1,1,3,1,0,9,0,0,4,3,0,2,1,1,1,1,0.263630507824786,Reaction9
1,23,2,6,9,2,1,1,1,3,1,0,10,0,0,4,3,0,2,1,1,1,1,0.270978067927995,Reaction1
2,23,3,6,9,2,1,1,1,2,1,0,10,0,0,4,3,0,2,1,1,1,2,0.276752786169725,Reaction9
1,22,4,6,9,2,1,1,1,2,1,1,10,0,0,4,3,0,2,1,1,1,2,0.290801019405222,NEW_REACTION
1,21,4,7,10,3,1,1,1,2,1,1,11,0,0,4,3,0,2,1,1,1,2,0.292071348769239,Reaction1
1,20,4,8,11,4,1,1,1,2,1,1,12,0,0,4,3,0,2,1,1,1,2,0.297811103100944,Reaction1
1,19,4,9,12,5,1,1,1,2,1,1,13,0,0,4,3,0,2,1,1,1,2,0.29947022350936,Reaction1
1,19,4,7,12,5,1,2,1,2,1,1,13,0,0,4,3,0,3,1,1,1,2,0.305124414610571,Reaction5
1,19,3,7,12,5,0,3,1,2,1,1,13,1,0,4,3,0,3,1,1,1,2,0.313068083997558,Reaction10
1,18,3,8,13,6,0,3,1,2,1,1,14,1,0,4,3,0,3,1,1,1,2,0.3166124133877,Reaction1
1,18,3,6,13,6,0,4,1,2,1,1,14,1,0,4,3,0,4,1,1,1,2,0.33557281600315,Reaction5
