Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
A4|1|GE,1,A4,MaxTime,{A4|1|Evaluation|001}{A4|1|Evaluation|002}{A4|1|Evaluation|003}{A4|1|Evaluation|004}{A4|1|Evaluation|005}{A4|1|Evaluation|006}{A4|1|Evaluation|007}{A4|1|Evaluation|008}{A4|1|Evaluation|009}{A4|1|Evaluation|010},1,1,0,1,0,1,0,20,10,10,0
A4|2|GE,2,A4,MaxTime,{A4|2|Evaluation|001}{A4|2|Evaluation|002}{A4|2|Evaluation|003}{A4|2|Evaluation|004}{A4|2|Evaluation|005}{A4|2|Evaluation|006}{A4|2|Evaluation|007}{A4|2|Evaluation|008}{A4|2|Evaluation|009}{A4|2|Evaluation|010},1,1,0,1,0,1,0,20,10,10,0
A4|3|GE,3,A4,MaxTime,{A4|3|Evaluation|001}{A4|3|Evaluation|002}{A4|3|Evaluation|003}{A4|3|Evaluation|004}{A4|3|Evaluation|005}{A4|3|Evaluation|006}{A4|3|Evaluation|007}{A4|3|Evaluation|008}{A4|3|Evaluation|009}{A4|3|Evaluation|010},1,1,0,1,0,1,0,20,10,10,0
A4|4|GE,4,A4,MaxTime,{A4|4|Evaluation|001}{A4|4|Evaluation|002}{A4|4|Evaluation|003}{A4|4|Evaluation|004}{A4|4|Evaluation|005}{A4|4|Evaluation|006}{A4|4|Evaluation|007}{A4|4|Evaluation|008}{A4|4|Evaluation|009}{A4|4|Evaluation|010},1,1,0,1,0,1,0,20,10,10,0
A4|5|GE,5,A4,MaxTime,{A4|5|Evaluation|001}{A4|5|Evaluation|002}{A4|5|Evaluation|003}{A4|5|Evaluation|004}{A4|5|Evaluation|005}{A4|5|Evaluation|006}{A4|5|Evaluation|007}{A4|5|Evaluation|008}{A4|5|Evaluation|009}{A4|5|Evaluation|010},1,1,0,1,0,1,0,20,10,10,0
A4|6|GE,6,A4,MaxTime,{A4|6|Evaluation|001}{A4|6|Evaluation|002}{A4|6|Evaluation|003}{A4|6|Evaluation|004}{A4|6|Evaluation|005}{A4|6|Evaluation|006}{A4|6|Evaluation|007}{A4|6|Evaluation|008}{A4|6|Evaluation|009}{A4|6|Evaluation|010},1,1,0,1,0,1,0,20,10,10,0
A4|7|GE,7,A4,MaxTime,{A4|7|Evaluation|001}{A4|7|Evaluation|002}{A4|7|Evaluation|003}{A4|7|Evaluation|004}{A4|7|Evaluation|005}{A4|7|Evaluation|006}{A4|7|Evaluation|007}{A4|7|Evaluation|008}{A4|7|Evaluation|009}{A4|7|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
A4|8|GE,8,A4,MaxTime,{A4|8|Evaluation|001}{A4|8|Evaluation|002}{A4|8|Evaluation|003}{A4|8|Evaluation|004}{A4|8|Evaluation|005}{A4|8|Evaluation|006}{A4|8|Evaluation|007}{A4|8|Evaluation|008}{A4|8|Evaluation|009}{A4|8|Evaluation|010},1,1,0,1,0,1,0,20,10,10,0
A4|9|GE,9,A4,MaxTime,{A4|9|Evaluation|001}{A4|9|Evaluation|002}{A4|9|Evaluation|003}{A4|9|Evaluation|004}{A4|9|Evaluation|005}{A4|9|Evaluation|006}{A4|9|Evaluation|007}{A4|9|Evaluation|008}{A4|9|Evaluation|009}{A4|9|Evaluation|010},1,1,0,1,0,1,0,20,10,10,0
A4|10|GE,10,A4,MaxTime,{A4|10|Evaluation|001}{A4|10|Evaluation|002}{A4|10|Evaluation|003}{A4|10|Evaluation|004}{A4|10|Evaluation|005}{A4|10|Evaluation|006}{A4|10|Evaluation|007}{A4|10|Evaluation|008}{A4|10|Evaluation|009}{A4|10|Evaluation|010},1,1,0,1,0,1,0,20,10,10,0
