CO,X1,Y,H,M,PO,CE,D,PE,A,B,R|NEW_REACTION,R|Reaction1,R|Reaction10,R|Reaction11,R|Reaction2,R|Reaction3,R|Reaction4,R|Reaction5,R|Reaction6,R|Reaction7,R|Reaction8,R|Reaction9,Times,Reaction
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264
0,99,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0102999337612598,Reaction1
0,98,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0199816400692205,Reaction1
0,97,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0258814522830706,Reaction1
0,97,0,1,3,3,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0.0266166899650266,Reaction5
0,96,0,2,4,4,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0.047969670932167,Reaction1
0,96,0,2,4,2,0,1,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0.0534987671050683,Reaction2
0,95,0,3,5,3,0,1,1,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0.0540089285071733,Reaction1
0,94,0,4,6,4,0,1,1,0,0,0,6,0,0,1,0,0,1,0,0,0,0,0.0593804211049903,Reaction1
0,93,0,5,7,5,0,1,1,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0.0597646407146739,Reaction1
0,92,0,6,8,6,0,1,1,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0.0705139059858804,Reaction1
0,92,0,6,8,4,0,1,2,0,0,0,8,0,0,2,0,0,1,0,0,0,0,0.0705338709364662,Reaction2
0,92,0,6,7,4,0,1,2,6,3,0,8,0,0,2,0,0,1,1,0,0,0,0.0716394548968588,Reaction6
0,92,0,4,7,4,0,2,2,6,3,0,8,0,0,2,0,0,2,1,0,0,0,0.0739306125361901,Reaction5
0,91,0,5,8,5,0,2,2,6,3,0,9,0,0,2,0,0,2,1,0,0,0,0.07576193084153,Reaction1
0,91,0,5,8,5,0,2,2,4,1,0,9,0,0,2,0,0,2,1,1,0,0,0.0772048739331408,Reaction7
0,90,0,6,9,6,0,2,2,4,1,0,10,0,0,2,0,0,2,1,1,0,0,0.0815656477619007,Reaction1
0,89,0,7,10,7,0,2,2,4,1,0,11,0,0,2,0,0,2,1,1,0,0,0.083610036449046,Reaction1
0,89,0,7,10,7,0,2,1,4,1,0,11,0,0,2,1,0,2,1,1,0,0,0.0847758574569776,Reaction3
1,89,1,7,10,7,0,2,1,3,1,0,11,0,0,2,1,0,2,1,1,0,1,0.0883114250212952,Reaction9
1,89,1,7,9,7,0,2,1,9,4,0,11,0,0,2,1,0,2,2,1,0,1,0.0975876752375793,Reaction6
0,88,2,7,9,7,0,2,1,9,4,1,11,0,0,2,1,0,2,2,1,0,1,0.0977891511247664,NEW_REACTION
0,88,2,7,9,7,0,2,1,7,2,1,11,0,0,2,1,0,2,2,2,0,1,0.0984894529663932,Reaction7
0,88,2,7,9,7,0,2,0,7,2,1,11,0,0,2,2,0,2,2,2,0,1,0.0988270263494292,Reaction3
0,88,2,5,9,7,0,3,0,7,2,1,11,0,0,2,2,0,3,2,2,0,1,0.103975598058919,Reaction5
0,87,2,6,10,8,0,3,0,7,2,1,12,0,0,2,2,0,3,2,2,0,1,0.107858164368361,Reaction1
