Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
A3|1,1,A3,MaxTime,{A3|1|Evaluation|001}{A3|1|Evaluation|002}{A3|1|Evaluation|003}{A3|1|Evaluation|004}{A3|1|Evaluation|005}{A3|1|Evaluation|006}{A3|1|Evaluation|007}{A3|1|Evaluation|008}{A3|1|Evaluation|009}{A3|1|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A3|2,2,A3,MaxTime,{A3|2|Evaluation|001}{A3|2|Evaluation|002}{A3|2|Evaluation|003}{A3|2|Evaluation|004}{A3|2|Evaluation|005}{A3|2|Evaluation|006}{A3|2|Evaluation|007}{A3|2|Evaluation|008}{A3|2|Evaluation|009}{A3|2|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A3|3,3,A3,MaxTime,{A3|3|Evaluation|001}{A3|3|Evaluation|002}{A3|3|Evaluation|003}{A3|3|Evaluation|004}{A3|3|Evaluation|005}{A3|3|Evaluation|006}{A3|3|Evaluation|007}{A3|3|Evaluation|008}{A3|3|Evaluation|009}{A3|3|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A3|4,4,A3,MaxTime,{A3|4|Evaluation|001}{A3|4|Evaluation|002}{A3|4|Evaluation|003}{A3|4|Evaluation|004}{A3|4|Evaluation|005}{A3|4|Evaluation|006}{A3|4|Evaluation|007}{A3|4|Evaluation|008}{A3|4|Evaluation|009}{A3|4|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A3|5,5,A3,MaxTime,{A3|5|Evaluation|001}{A3|5|Evaluation|002}{A3|5|Evaluation|003}{A3|5|Evaluation|004}{A3|5|Evaluation|005}{A3|5|Evaluation|006}{A3|5|Evaluation|007}{A3|5|Evaluation|008}{A3|5|Evaluation|009}{A3|5|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A3|6,6,A3,MaxTime,{A3|6|Evaluation|001}{A3|6|Evaluation|002}{A3|6|Evaluation|003}{A3|6|Evaluation|004}{A3|6|Evaluation|005}{A3|6|Evaluation|006}{A3|6|Evaluation|007}{A3|6|Evaluation|008}{A3|6|Evaluation|009}{A3|6|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A3|7,7,A3,MaxTime,{A3|7|Evaluation|001}{A3|7|Evaluation|002}{A3|7|Evaluation|003}{A3|7|Evaluation|004}{A3|7|Evaluation|005}{A3|7|Evaluation|006}{A3|7|Evaluation|007}{A3|7|Evaluation|008}{A3|7|Evaluation|009}{A3|7|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
A3|8,8,A3,MaxTime,{A3|8|Evaluation|001}{A3|8|Evaluation|002}{A3|8|Evaluation|003}{A3|8|Evaluation|004}{A3|8|Evaluation|005}{A3|8|Evaluation|006}{A3|8|Evaluation|007}{A3|8|Evaluation|008}{A3|8|Evaluation|009}{A3|8|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A3|9,9,A3,MaxTime,{A3|9|Evaluation|001}{A3|9|Evaluation|002}{A3|9|Evaluation|003}{A3|9|Evaluation|004}{A3|9|Evaluation|005}{A3|9|Evaluation|006}{A3|9|Evaluation|007}{A3|9|Evaluation|008}{A3|9|Evaluation|009}{A3|9|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A3|10,10,A3,MaxTime,{A3|10|Evaluation|001}{A3|10|Evaluation|002}{A3|10|Evaluation|003}{A3|10|Evaluation|004}{A3|10|Evaluation|005}{A3|10|Evaluation|006}{A3|10|Evaluation|007}{A3|10|Evaluation|008}{A3|10|Evaluation|009}{A3|10|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
