CO,X1,Y,H,M,PO,CE,D,PE,A,B,R|NEW_REACTION,R|Reaction1,R|Reaction10,R|Reaction11,R|Reaction2,R|Reaction3,R|Reaction4,R|Reaction5,R|Reaction6,R|Reaction7,R|Reaction8,R|Reaction9,Times,Reaction
0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
0,17,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0322235411435365,Reaction1
0,16,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0372755963445548,Reaction1
0,15,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0598076621255292,Reaction1
0,15,0,3,3,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0.103644908665135,Reaction2
0,15,0,3,3,1,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0.113043662506751,Reaction3
0,15,0,1,3,1,0,1,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0.116508378153098,Reaction5
0,14,0,2,4,2,0,1,0,0,0,0,4,0,0,1,1,0,1,0,0,0,0,0.11942776602746,Reaction1
0,13,0,3,5,3,0,1,0,0,0,0,5,0,0,1,1,0,1,0,0,0,0,0.122627636858503,Reaction1
0,13,0,3,5,1,0,1,1,0,0,0,5,0,0,2,1,0,1,0,0,0,0,0.169921805239087,Reaction2
0,12,0,4,6,2,0,1,1,0,0,0,6,0,0,2,1,0,1,0,0,0,0,0.185290548145132,Reaction1
0,12,0,2,6,2,0,2,1,0,0,0,6,0,0,2,1,0,2,0,0,0,0,0.328375113151349,Reaction5
0,12,0,2,6,0,0,2,2,0,0,0,6,0,0,3,1,0,2,0,0,0,0,0.333952805955455,Reaction2
0,11,0,3,7,1,0,2,2,0,0,0,7,0,0,3,1,0,2,0,0,0,0,0.428701425042415,Reaction1
0,11,0,3,6,1,0,2,2,6,3,0,7,0,0,3,1,0,2,1,0,0,0,0.431499844241208,Reaction6
0,11,0,3,6,1,0,2,2,4,1,0,7,0,0,3,1,0,2,1,1,0,0,0.432842030412867,Reaction7
0,10,0,4,7,2,0,2,2,4,1,0,8,0,0,3,1,0,2,1,1,0,0,0.502871535186831,Reaction1
0,10,0,2,7,2,0,3,2,4,1,0,8,0,0,3,1,0,3,1,1,0,0,0.504652002579855,Reaction5
0,10,0,2,7,2,0,3,1,4,1,0,8,0,0,3,2,0,3,1,1,0,0,0.509260419439274,Reaction3
0,9,0,3,8,3,0,3,1,4,1,0,9,0,0,3,2,0,3,1,1,0,0,0.528837642342138,Reaction1
0,9,0,3,8,1,0,3,2,4,1,0,9,0,0,4,2,0,3,1,1,0,0,0.537629709260554,Reaction2
0,9,0,1,8,1,0,4,2,4,1,0,9,0,0,4,2,0,4,1,1,0,0,0.560472657971778,Reaction5
0,9,1,1,8,1,1,3,2,4,1,0,9,0,0,4,2,0,4,1,1,1,0,0.564190581528779,Reaction8
0,9,2,1,8,1,2,2,2,4,1,0,9,0,0,4,2,0,4,1,1,2,0,0.565269207403535,Reaction8
0,9,2,1,7,1,2,2,2,10,4,0,9,0,0,4,2,0,4,2,1,2,0,0.570225409651199,Reaction6
0,9,2,1,7,1,2,2,2,8,2,0,9,0,0,4,2,0,4,2,2,2,0,0.570694638944613,Reaction7
0,9,2,1,7,1,2,2,2,6,0,0,9,0,0,4,2,0,4,2,3,2,0,0.579041108264296,Reaction7
0,8,2,2,8,2,2,2,2,6,0,0,10,0,0,4,2,0,4,2,3,2,0,0.580134969405669,Reaction1
0,7,2,3,9,3,2,2,2,6,0,0,11,0,0,4,2,0,4,2,3,2,0,0.61110623247585,Reaction1
0,6,2,4,10,4,2,2,2,6,0,0,12,0,0,4,2,0,4,2,3,2,0,0.634546284483568,Reaction1
0,6,1,4,10,4,1,3,2,6,0,0,12,1,0,4,2,0,4,2,3,2,0,0.685588163731466,Reaction10
1,6,2,4,10,4,1,3,2,5,0,0,12,1,0,4,2,0,4,2,3,2,1,0.694317748077778,Reaction9
1,6,2,4,9,4,1,3,2,11,3,0,12,1,0,4,2,0,4,3,3,2,1,0.700880838896653,Reaction6
1,6,2,4,9,4,1,3,2,9,1,0,12,1,0,4,2,0,4,3,4,2,1,0.701506561716771,Reaction7
